#  step      rmse_trn    rmse_e_trn    rmse_f_trn    rmse_v_trn         lr
 662000      1.35e-01      3.12e-04      1.72e-02      1.06e-02    5.0e-07
 664000      3.72e-02      7.45e-05      1.53e-02      2.54e-03    5.0e-07
 666000      1.39e-01      3.98e-04      1.76e-02      1.09e-02    4.7e-07
 668000      1.47e-01      5.09e-04      4.87e-02      1.06e-02    4.7e-07
 670000      1.03e-01      1.87e-04      2.38e-02      7.79e-03    4.5e-07
 672000      1.78e-01      4.29e-04      6.38e-03      1.41e-02    4.5e-07
 674000      9.15e-02      4.88e-05      1.64e-02      7.07e-03    4.5e-07
 676000      9.79e-02      3.35e-04      2.11e-02      7.47e-03    4.2e-07
 678000      6.59e-02      1.16e-04      1.83e-02      4.91e-03    4.2e-07
 680000      9.89e-02      3.29e-04      1.78e-02      7.63e-03    4.0e-07
 682000      1.12e-01      2.09e-04      3.08e-02      8.33e-03    4.0e-07
 684000      1.86e-01      5.61e-04      3.99e-02      1.42e-02    4.0e-07
 686000      1.13e-01      2.82e-04      2.05e-02      8.71e-03    3.8e-07
 688000      4.90e-02      4.25e-04      1.36e-02      3.64e-03    3.8e-07
 690000      9.49e-02      3.85e-04      6.93e-03      7.46e-03    3.5e-07
 692000      1.59e-01      1.51e-04      4.44e-02      1.19e-02    3.5e-07
 694000      1.10e-01      5.70e-04      5.42e-02      7.09e-03    3.5e-07
 696000      1.21e-01      8.22e-05      2.31e-02      9.35e-03    3.3e-07
 698000      1.24e-01      1.04e-04      4.76e-02      8.80e-03    3.3e-07
 700000      1.32e-01      1.21e-04      5.88e-03      1.04e-02    3.2e-07
 702000      7.73e-02      3.74e-04      2.59e-02      5.64e-03    3.2e-07
 704000      2.61e-01      4.03e-04      2.29e-02      2.06e-02    3.2e-07
 706000      1.57e-01      1.88e-05      1.93e-02      1.23e-02    3.0e-07
